Date,County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
2024,39109,"Miami County, OH",.,.,.,.,0.07,0.068,.,.,.,.,.,.,.,.
2024,39113,"Montgomery County, OH",.,.,.,.,0.09,0.072,.,.,.,.,.,.,.,.
2024,39133,"Portage County, OH",.,.,.,.,0.08,0.067,.,.,.,.,.,.,.,.
2024,39135,"Preble County, OH",0.3,0.3,.,.,.,.,.,.,.,.,.,.,.,.
2024,39151,"Stark County, OH",.,.,.,.,0.07,0.067,.,.,.,.,.,.,.,.
2024,39153,"Summit County, OH",.,.,.,.,0.08,0.069,.,.,.,.,.,.,.,.
2024,39155,"Trumbull County, OH",.,.,.,.,0.07,0.068,.,.,.,.,.,.,.,.
2024,39165,"Warren County, OH",.,.,.,.,0.09,0.073,.,.,.,.,.,.,.,.
2024,39167,"Washington County, OH",.,.,.,.,0.08,0.062,.,.,.,.,.,.,.,.
2024,39173,"Wood County, OH",.,.,.,.,0.07,0.065,.,.,.,.,.,.,.,.
2024,40017,"Canadian County, OK",.,.,.,.,0.09,0.072,.,.,.,.,.,.,.,.
2024,40019,"Carter County, OK",.,.,.,.,0.09,0.073,.,.,.,.,.,.,.,.
2024,40027,"Cleveland County, OK",.,.,.,.,0.09,0.073,.,.,.,.,.,.,.,.
